TEMP,num_delays,avg_delay_time
31.22,149,32.94
31.28,207,33.66
31.33,385,21.33
31.39,185,36.04
31.44,145,48.82
31.5,305,23.54
31.56,197,24.06
31.61,176,45.62
31.67,68,25.63
31.72,110,32.19
31.78,166,26.96
31.83,296,24.65
31.89,128,31.16
31.94,240,38.49
32.0,120,22.87
32.06,246,34.58
32.11,175,27.77
32.17,93,27.51
32.22,141,17.65
32.28,81,32.35
32.33,118,39.33
32.39,28,25.36
32.44,65,40.48
32.5,116,19.42
32.56,108,23.71
32.61,121,41.59
32.67,50,27.80
32.72,135,49.30
32.78,313,31.77
32.83,201,29.04
32.89,290,29.61
32.94,25,34.56
33.0,49,20.47
33.06,92,24.21
33.11,111,14.04
33.22,281,57.53
33.28,178,36.81
33.33,55,18.84
33.44,182,21.99
33.5,77,28.19
33.56,65,21.00
33.61,147,25.29
33.67,59,43.95
33.72,10,31.80
33.78,89,23.67
33.83,120,23.85
33.89,9,93.44
33.94,29,23.00
34.0,39,7.69
34.06,142,21.63
34.11,59,18.07
34.17,144,34.72
34.22,48,21.21
34.28,151,21.81
34.33,9,18.22
34.39,70,20.21
34.44,107,19.99
34.5,3,43.67
34.56,45,116.96
34.61,88,16.08
34.67,30,26.67
34.72,49,21.45
34.78,200,22.20
34.83,14,47.07
34.89,238,25.72
34.94,77,18.58
35.0,352,31.85
35.06,137,19.15
35.11,97,19.86
35.17,127,25.24
35.22,87,16.60
35.28,166,17.37
35.33,74,20.81
35.39,53,22.43
35.44,153,32.73
35.5,77,20.09
35.56,74,28.18
35.61,55,14.42
35.67,158,23.63
35.72,77,16.36
35.83,85,17.92
35.89,105,17.31
35.94,65,16.15
36.0,72,35.43
36.06,76,27.18
36.11,60,32.15
36.17,180,27.84
36.22,30,24.50
36.28,30,26.57
36.39,62,29.21
36.44,40,40.65
36.5,24,12.00
36.56,115,20.22
36.61,77,21.32
36.67,74,21.88
36.78,80,22.93
36.89,52,21.65
36.94,98,18.31
37.0,3,13.33
37.06,137,23.50
37.11,74,12.01
37.17,37,20.86
37.22,133,26.58
37.28,75,24.41
37.33,138,24.54
37.39,29,34.28
37.56,75,40.69
37.61,154,17.47
37.67,36,19.39
37.72,199,23.34
37.78,42,19.95
37.83,33,34.61
37.89,27,19.56
37.94,28,29.18
38.0,2,8.00
38.06,148,24.16
38.11,40,32.62
38.17,34,35.26
38.22,152,22.71
38.28,177,23.60
38.33,36,21.58
38.39,58,40.74
38.44,37,34.97
38.5,76,24.09
38.56,1,186.00
38.67,74,16.46
38.83,48,16.75
38.94,38,24.92
